"Year","Month","SOI"
1948,"1948-Mar",-4.6
1948,"1948-Apr",2.1
1948,"1948-May",4
1948,"1948-Jun",-4.6
1948,"1948-Jul",0.8
1948,"1948-Aug",-4
1948,"1948-Sep",-7.1
1948,"1948-Oct",6.6
1948,"1948-Nov",4.2
1948,"1948-Dec",-6.8
1949,"1949-Jan",-7.9
1949,"1949-Feb",1.2
1949,"1949-Mar",4.1
1949,"1949-Apr",0.6
1949,"1949-May",-4.8
1949,"1949-Jun",-10.9
1949,"1949-Jul",-1.6
1949,"1949-Aug",-4
1949,"1949-Sep",2.3
1949,"1949-Oct",6
1949,"1949-Nov",-5.9
1949,"1949-Dec",6.4
1950,"1950-Jan",4.5
1950,"1950-Feb",17
1950,"1950-Mar",14.6
1950,"1950-Apr",13.8
1950,"1950-May",7.7
1950,"1950-Jun",22.6
1950,"1950-Jul",19.6
1950,"1950-Aug",11.8
1950,"1950-Sep",7
1950,"1950-Oct",18
1950,"1950-Nov",11.8
1950,"1950-Dec",21.7
1951,"1951-Jan",12.7
1951,"1951-Feb",5.7
1951,"1951-Mar",-5.5
1951,"1951-Apr",-7.4
1951,"1951-May",-11.5
1951,"1951-Jun",-1.8
1951,"1951-Jul",-12.5
1951,"1951-Aug",-5.2
1951,"1951-Sep",-11.2
1951,"1951-Oct",-12.3
1951,"1951-Nov",-8.5
1951,"1951-Dec",-8.3
1952,"1952-Jan",-8.9
1952,"1952-Feb",-8.1
1952,"1952-Mar",0.2
1952,"1952-Apr",-6.7
1952,"1952-May",7.7
1952,"1952-Jun",5.8
1952,"1952-Jul",4.5
1952,"1952-Aug",-2.2
1952,"1952-Sep",-1.8
1952,"1952-Oct",3.5
1952,"1952-Nov",0.4
1952,"1952-Dec",-12.8
1953,"1953-Jan",1.6
1953,"1953-Feb",-7.1
1953,"1953-Mar",-6
1953,"1953-Apr",-0.8
1953,"1953-May",-25.5
1953,"1953-Jun",-2.5
1953,"1953-Jul",-1
1953,"1953-Aug",-16.1
1953,"1953-Sep",-13
1953,"1953-Oct",-0.3
1953,"1953-Nov",-2.7
1953,"1953-Dec",-5.8
1954,"1954-Jan",5
1954,"1954-Feb",-5.2
1954,"1954-Mar",-2.2
1954,"1954-Apr",5
1954,"1954-May",4
1954,"1954-Jun",-2.5
1954,"1954-Jul",3.3
1954,"1954-Aug",9.4
1954,"1954-Sep",2.3
1954,"1954-Oct",2.2
1954,"1954-Nov",2.3
1954,"1954-Dec",11.5
1955,"1955-Jan",-5.5
1955,"1955-Feb",14.6
1955,"1955-Mar",1.2
1955,"1955-Apr",-5.2
1955,"1955-May",11.4
1955,"1955-Jun",12.8
1955,"1955-Jul",16.6
1955,"1955-Aug",13.6
1955,"1955-Sep",14.6
1955,"1955-Oct",16.7
1955,"1955-Nov",15
1955,"1955-Dec",7.9
1956,"1956-Jan",10.8
1956,"1956-Feb",12.1
1956,"1956-Mar",7.4
1956,"1956-Apr",8.7
1956,"1956-May",16.5
1956,"1956-Jun",10
1956,"1956-Jul",11.1
1956,"1956-Aug",10.6
1956,"1956-Sep",1.1
1956,"1956-Oct",19.9
1956,"1956-Nov",2.3
1956,"1956-Dec",8.5
1957,"1957-Jan",4.5
1957,"1957-Feb",-3.2
1957,"1957-Mar",-2.7
1957,"1957-Apr",-0.1
1957,"1957-May",-11.5
1957,"1957-Jun",-1.8
1957,"1957-Jul",1.4
1957,"1957-Aug",-8.2
1957,"1957-Sep",-9.4
1957,"1957-Oct",-0.3
1957,"1957-Nov",-11
1957,"1957-Dec",-4.3
1958,"1958-Jan",-17.5
1958,"1958-Feb",-7.1
1958,"1958-Mar",-2.2
1958,"1958-Apr",1.3
1958,"1958-May",-9.3
1958,"1958-Jun",-0.4
1958,"1958-Jul",3.3
1958,"1958-Aug",7.5
1958,"1958-Sep",-3
1958,"1958-Oct",-0.3
1958,"1958-Nov",-4.6
1958,"1958-Dec",-7.3
1959,"1959-Jan",-8.9
1959,"1959-Feb",-15
1959,"1959-Mar",7
1959,"1959-Apr",4.3
1959,"1959-May",4
1959,"1959-Jun",-5.3
1959,"1959-Jul",-4
1959,"1959-Aug",-4
1959,"1959-Sep",0.5
1959,"1959-Oct",4.7
1959,"1959-Nov",11.2
1959,"1959-Dec",6.9
1960,"1960-Jan",0.2
1960,"1960-Feb",-1.7
1960,"1960-Mar",4.5
1960,"1960-Apr",7.2
1960,"1960-May",4.7
1960,"1960-Jun",-2.5
1960,"1960-Jul",4.5
1960,"1960-Aug",6.3
1960,"1960-Sep",7.6
1960,"1960-Oct",0.3
1960,"1960-Nov",6.8
1960,"1960-Dec",5.9
1961,"1961-Jan",-3.1
1961,"1961-Feb",5.7
1961,"1961-Mar",-20.5
1961,"1961-Apr",7.9
1961,"1961-May",1.8
1961,"1961-Jun",-2.5
1961,"1961-Jul",-0.4
1961,"1961-Aug",-0.3
1961,"1961-Sep",1.1
1961,"1961-Oct",4.7
1961,"1961-Nov",6.8
1961,"1961-Dec",12.5
1962,"1962-Jan",16.5
1962,"1962-Feb",-5.2
1962,"1962-Mar",-3.1
1962,"1962-Apr",-0.8
1962,"1962-May",12.1
1962,"1962-Jun",5.1
1962,"1962-Jul",-0.4
1962,"1962-Aug",4.5
1962,"1962-Sep",5.2
1962,"1962-Oct",10.4
1962,"1962-Nov",4.2
1962,"1962-Dec",0.3
1963,"1963-Jan",8.4
1963,"1963-Feb",2.7
1963,"1963-Mar",5.5
1963,"1963-Apr",7.2
1963,"1963-May",2.5
1963,"1963-Jun",-10.2
1963,"1963-Jul",-2.2
1963,"1963-Aug",-2.8
1963,"1963-Sep",-5.9
1963,"1963-Oct",-14.8
1963,"1963-Nov",-9.1
1963,"1963-Dec",-12.9
1964,"1964-Jan",-4.1
1964,"1964-Feb",-2.2
1964,"1964-Mar",5.5
1964,"1964-Apr",1.3
1964,"1964-May",6.9
1964,"1964-Jun",5.8
1964,"1964-Jul",5.1
1964,"1964-Aug",14.2
1964,"1964-Sep",14
1964,"1964-Oct",14.2
1964,"1964-Nov",2.3
1964,"1964-Dec",-4.3
1965,"1965-Jan",-4.6
1965,"1965-Feb",1.2
1965,"1965-Mar",2.1
1965,"1965-Apr",-10.4
1965,"1965-May",-0.4
1965,"1965-Jun",-10.9
1965,"1965-Jul",-21
1965,"1965-Aug",-10.1
1965,"1965-Sep",-13.5
1965,"1965-Oct",-11
1965,"1965-Nov",-16.7
1965,"1965-Dec",0.3
1966,"1966-Jan",-4.6
1966,"1966-Feb",-4.7
1966,"1966-Mar",-12.8
1966,"1966-Apr",-6
1966,"1966-May",-7.8
1966,"1966-Jun",0.3
1966,"1966-Jul",-0.4
1966,"1966-Aug",4.5
1966,"1966-Sep",-1.8
1966,"1966-Oct",-2.2
1966,"1966-Nov",0.4
1966,"1966-Dec",-4.8
1967,"1967-Jan",14.1
1967,"1967-Feb",12.6
1967,"1967-Mar",6.5
1967,"1967-Apr",-3.8
1967,"1967-May",-2.6
1967,"1967-Jun",4.5
1967,"1967-Jul",0.8
1967,"1967-Aug",5.7
1967,"1967-Sep",5.8
1967,"1967-Oct",-0.3
1967,"1967-Nov",-4.6
1967,"1967-Dec",-6.8
1968,"1968-Jan",3.6
1968,"1968-Feb",9.1
1968,"1968-Mar",-3.6
1968,"1968-Apr",-3
1968,"1968-May",14.3
1968,"1968-Jun",10
1968,"1968-Jul",6.3
1968,"1968-Aug",0.3
1968,"1968-Sep",-2.4
1968,"1968-Oct",-1.6
1968,"1968-Nov",-3.4
1968,"1968-Dec",0.3
1969,"1969-Jan",-14.2
1969,"1969-Feb",-7.6
1969,"1969-Mar",-0.7
1969,"1969-Apr",-8.2
1969,"1969-May",-5.6
1969,"1969-Jun",-1.1
1969,"1969-Jul",-6.4
1969,"1969-Aug",-4
1969,"1969-Sep",-10
1969,"1969-Oct",-11.6
1969,"1969-Nov",-0.2
1969,"1969-Dec",2.3
1970,"1970-Jan",-10.8
1970,"1970-Feb",-12.1
1970,"1970-Mar",0.7
1970,"1970-Apr",-4.5
1970,"1970-May",2.5
1970,"1970-Jun",8.6
1970,"1970-Jul",-5.2
1970,"1970-Aug",3.9
1970,"1970-Sep",12.8
1970,"1970-Oct",11
1970,"1970-Nov",18.8
1970,"1970-Dec",16.1
1971,"1971-Jan",2.1
1971,"1971-Feb",15.5
1971,"1971-Mar",16.1
1971,"1971-Apr",19.6
1971,"1971-May",9.2
1971,"1971-Jun",1.7
1971,"1971-Jul",1.4
1971,"1971-Aug",14.2
1971,"1971-Sep",15.8
1971,"1971-Oct",18.6
1971,"1971-Nov",6.8
1971,"1971-Dec",0.8
1972,"1972-Jan",3.1
1972,"1972-Feb",7.2
1972,"1972-Mar",1.2
1972,"1972-Apr",-5.2
1972,"1972-May",-24
1972,"1972-Jun",-10.9
1972,"1972-Jul",-17.3
1972,"1972-Aug",-8.2
1972,"1972-Sep",-14.1
1972,"1972-Oct",-11
1972,"1972-Nov",-3.4
1972,"1972-Dec",-13.4
1973,"1973-Jan",-3.6
1973,"1973-Feb",-15
1973,"1973-Mar",-0.3
1973,"1973-Apr",-2.3
1973,"1973-May",3.3
1973,"1973-Jun",10
1973,"1973-Jul",5.7
1973,"1973-Aug",11.8
1973,"1973-Sep",13.4
1973,"1973-Oct",10.4
1973,"1973-Nov",31.5
1973,"1973-Dec",15.6
1974,"1974-Jan",20.3
1974,"1974-Feb",16
1974,"1974-Mar",17
1974,"1974-Apr",9.4
1974,"1974-May",10.6
1974,"1974-Jun",1.7
1974,"1974-Jul",11.1
1974,"1974-Aug",6.3
1974,"1974-Sep",12.2
1974,"1974-Oct",9.2
1974,"1974-Nov",-1.5
1974,"1974-Dec",0.3
1975,"1975-Jan",-6
1975,"1975-Feb",4.7
1975,"1975-Mar",9.4
1975,"1975-Apr",12.3
1975,"1975-May",6.2
1975,"1975-Jun",12.8
1975,"1975-Jul",19.6
1975,"1975-Aug",19.7
1975,"1975-Sep",22.2
1975,"1975-Oct",18.6
1975,"1975-Nov",13.1
1975,"1975-Dec",17.6
1976,"1976-Jan",11.2
1976,"1976-Feb",12.6
1976,"1976-Mar",10.8
1976,"1976-Apr",0.6
1976,"1976-May",2.5
1976,"1976-Jun",0.3
1976,"1976-Jul",-11.9
1976,"1976-Aug",-11.3
1976,"1976-Sep",-12.4
1976,"1976-Oct",3.5
1976,"1976-Nov",9.3
1976,"1976-Dec",-20
1977,"1977-Jan",-4.1
1977,"1977-Feb",8.6
1977,"1977-Mar",-9.4
1977,"1977-Apr",-8.2
1977,"1977-May",-9.3
1977,"1977-Jun",-15.8
1977,"1977-Jul",-13.7
1977,"1977-Aug",-11.3
1977,"1977-Sep",-8.8
1977,"1977-Oct",-12.9
1977,"1977-Nov",-14.2
1977,"1977-Dec",-11.4
1978,"1978-Jan",-3.6
1978,"1978-Feb",-26.9
1978,"1978-Mar",-6
1978,"1978-Apr",-7.4
1978,"1978-May",15.8
1978,"1978-Jun",4.5
1978,"1978-Jul",5.1
1978,"1978-Aug",2.1
1978,"1978-Sep",1.1
1978,"1978-Oct",-5.3
1978,"1978-Nov",-2.1
1978,"1978-Dec",-2.2
1979,"1979-Jan",-4.6
1979,"1979-Feb",6.2
1979,"1979-Mar",-3.6
1979,"1979-Apr",-5.2
1979,"1979-May",4
1979,"1979-Jun",4.5
1979,"1979-Jul",13.6
1979,"1979-Aug",-4.6
1979,"1979-Sep",1.7
1979,"1979-Oct",-2.2
1979,"1979-Nov",-4.6
1979,"1979-Dec",-8.3
1980,"1980-Jan",2.6
1980,"1980-Feb",0.3
1980,"1980-Mar",-8.4
1980,"1980-Apr",-11.8
1980,"1980-May",-2.6
1980,"1980-Jun",-3.9
1980,"1980-Jul",-1.6
1980,"1980-Aug",1.5
1980,"1980-Sep",-4.7
1980,"1980-Oct",-0.9
1980,"1980-Nov",-3.4
1980,"1980-Dec",-2.2
1981,"1981-Jan",2.1
1981,"1981-Feb",-4.2
1981,"1981-Mar",-15.6
1981,"1981-Apr",-5.2
1981,"1981-May",8.4
1981,"1981-Jun",12.1
1981,"1981-Jul",8.1
1981,"1981-Aug",5.1
1981,"1981-Sep",6.4
1981,"1981-Oct",-5.3
1981,"1981-Nov",2.3
1981,"1981-Dec",3.4
1982,"1982-Jan",8.8
1982,"1982-Feb",-0.2
1982,"1982-Mar",0.7
1982,"1982-Apr",-2.3
1982,"1982-May",-7.1
1982,"1982-Jun",-17.2
1982,"1982-Jul",-17.9
1982,"1982-Aug",-22.2
1982,"1982-Sep",-20
1982,"1982-Oct",-20.5
1982,"1982-Nov",-30
1982,"1982-Dec",-22.6
1983,"1983-Jan",-31.4
1983,"1983-Feb",-35.7
1983,"1983-Mar",-25.7
1983,"1983-Apr",-15.5
1983,"1983-May",5.5
1983,"1983-Jun",-3.2
1983,"1983-Jul",-7
1983,"1983-Aug",0.9
1983,"1983-Sep",9.9
1983,"1983-Oct",4.7
1983,"1983-Nov",-0.8
1983,"1983-Dec",-1.2
1984,"1984-Jan",0.7
1984,"1984-Feb",5.2
1984,"1984-Mar",-6.5
1984,"1984-Apr",1.3
1984,"1984-May",0.3
1984,"1984-Jun",-8.1
1984,"1984-Jul",0.8
1984,"1984-Aug",2.1
1984,"1984-Sep",2.3
1984,"1984-Oct",-4.7
1984,"1984-Nov",3.6
1984,"1984-Dec",-2.7
1985,"1985-Jan",-4.6
1985,"1985-Feb",6.2
1985,"1985-Mar",-2.7
1985,"1985-Apr",12.3
1985,"1985-May",3.3
1985,"1985-Jun",-8.8
1985,"1985-Jul",-2.2
1985,"1985-Aug",8.2
1985,"1985-Sep",0.5
1985,"1985-Oct",-5.3
1985,"1985-Nov",-1.5
1985,"1985-Dec",0.8
1986,"1986-Jan",7.4
1986,"1986-Feb",-12.1
1986,"1986-Mar",-0.3
1986,"1986-Apr",0.6
1986,"1986-May",-5.6
1986,"1986-Jun",8.6
1986,"1986-Jul",2
1986,"1986-Aug",-7
1986,"1986-Sep",-4.7
1986,"1986-Oct",6.6
1986,"1986-Nov",-13.5
1986,"1986-Dec",-15
1987,"1987-Jan",-7
1987,"1987-Feb",-14
1987,"1987-Mar",-16.1
1987,"1987-Apr",-23.5
1987,"1987-May",-19.6
1987,"1987-Jun",-17.9
1987,"1987-Jul",-17.3
1987,"1987-Aug",-13.1
1987,"1987-Sep",-10.6
1987,"1987-Oct",-5.3
1987,"1987-Nov",-1.5
1987,"1987-Dec",-5.8
1988,"1988-Jan",-1.5
1988,"1988-Feb",-6.2
1988,"1988-Mar",1.2
1988,"1988-Apr",-3
1988,"1988-May",9.9
1988,"1988-Jun",-3.9
1988,"1988-Jul",10.5
1988,"1988-Aug",14.2
1988,"1988-Sep",18.7
1988,"1988-Oct",15.5
1988,"1988-Nov",22
1988,"1988-Dec",9.5
1989,"1989-Jan",12.7
1989,"1989-Feb",8.5
1989,"1989-Mar",5.5
1989,"1989-Apr",18.1
1989,"1989-May",15.1
1989,"1989-Jun",6.1
1989,"1989-Jul",8.5
1989,"1989-Aug",-5.6
1989,"1989-Sep",5.8
1989,"1989-Oct",7.8
1989,"1989-Nov",-1.8
1989,"1989-Dec",-5.3
1990,"1990-Jan",-1.9
1990,"1990-Feb",-18.4
1990,"1990-Mar",-8.2
1990,"1990-Apr",-0.7
1990,"1990-May",13.6
1990,"1990-Jun",0
1990,"1990-Jul",5.2
1990,"1990-Aug",-4.4
1990,"1990-Sep",-7.3
1990,"1990-Oct",-1.2
1990,"1990-Nov",-5
1990,"1990-Dec",-3.7
1991,"1991-Jan",4.2
1991,"1991-Feb",-0.2
1991,"1991-Mar",-10.1
1991,"1991-Apr",-11.5
1991,"1991-May",-17.9
1991,"1991-Jun",-5.5
1991,"1991-Jul",-1.5
1991,"1991-Aug",-6.8
1991,"1991-Sep",-16.2
1991,"1991-Oct",-13.5
1991,"1991-Nov",-6.9
1991,"1991-Dec",-18.3
1992,"1992-Jan",-26
1992,"1992-Feb",-10.3
1992,"1992-Mar",-22.1
1992,"1992-Apr",-16.5
1992,"1992-May",0.4
1992,"1992-Jun",-11.9
1992,"1992-Jul",-6.5
1992,"1992-Aug",0.8
1992,"1992-Sep",0.7
1992,"1992-Oct",-18
1992,"1992-Nov",-6.9
1992,"1992-Dec",-6.6
1993,"1993-Jan",-9.2
1993,"1993-Feb",-8.7
1993,"1993-Mar",-8.8
1993,"1993-Apr",-18.5
1993,"1993-May",-7.3
1993,"1993-Jun",-14.4
1993,"1993-Jul",-10.1
1993,"1993-Aug",-13
1993,"1993-Sep",-7
1993,"1993-Oct",-13
1993,"1993-Nov",0.4
1993,"1993-Dec",0.7
1994,"1994-Jan",-2.1
1994,"1994-Feb",0.3
1994,"1994-Mar",-10
1994,"1994-Apr",-19.9
1994,"1994-May",-11.6
1994,"1994-Jun",-9.4
1994,"1994-Jul",-16.7
1994,"1994-Aug",-15.7
1994,"1994-Sep",-16.2
1994,"1994-Oct",-13.5
1994,"1994-Nov",-7.3
1994,"1994-Dec",-13.1
1995,"1995-Jan",-5.8
1995,"1995-Feb",-3.3
1995,"1995-Mar",2.8
1995,"1995-Apr",-14.4
1995,"1995-May",-8.6
1995,"1995-Jun",-2.2
1995,"1995-Jul",4
1995,"1995-Aug",1.2
1995,"1995-Sep",3.4
1995,"1995-Oct",-0.6
1995,"1995-Nov",1.7
1995,"1995-Dec",-7.8
1996,"1996-Jan",7.7
1996,"1996-Feb",0.6
1996,"1996-Mar",5.2
1996,"1996-Apr",5.3
1996,"1996-May",1.7
1996,"1996-Jun",10.5
1996,"1996-Jul",6.6
1996,"1996-Aug",4.8
1996,"1996-Sep",6.9
1996,"1996-Oct",5.2
1996,"1996-Nov",-0.1
1996,"1996-Dec",7.3
1997,"1997-Jan",3.5
1997,"1997-Feb",14
1997,"1997-Mar",-7
1997,"1997-Apr",-14.3
1997,"1997-May",-19
1997,"1997-Jun",-24.3
1997,"1997-Jul",-9
1997,"1997-Aug",-18
1997,"1997-Sep",-14.1
1997,"1997-Oct",-16.7
1997,"1997-Nov",-13.9
1997,"1997-Dec",-10.8
1998,"1998-Jan",-22.9
1998,"1998-Feb",-22.2
1998,"1998-Mar",-26.1
1998,"1998-Apr",-22.4
1998,"1998-May",-0.3
1998,"1998-Jun",8.2
1998,"1998-Jul",12.8
1998,"1998-Aug",9.7
1998,"1998-Sep",12.1
1998,"1998-Oct",11.2
1998,"1998-Nov",13.2
1998,"1998-Dec",11.7
1999,"1999-Jan",14.7
1999,"1999-Feb",7.1
1999,"1999-Mar",7.6
1999,"1999-Apr",16.8
1999,"1999-May",0.9
1999,"1999-Jun",-0.5
1999,"1999-Jul",4.4
1999,"1999-Aug",3.3
1999,"1999-Sep",0.2
1999,"1999-Oct",9.5
1999,"1999-Nov",11.6
1999,"1999-Dec",12.4
2000,"2000-Jan",3.2
2000,"2000-Feb",13
2000,"2000-Mar",7.6
2000,"2000-Apr",15.4
2000,"2000-May",6
2000,"2000-Jun",-6.5
2000,"2000-Jul",-4
2000,"2000-Aug",4.5
2000,"2000-Sep",10.1
2000,"2000-Oct",11.6
2000,"2000-Nov",20.7
2000,"2000-Dec",7.7
2001,"2001-Jan",7.4
2001,"2001-Feb",12
2001,"2001-Mar",4.9
2001,"2001-Apr",1.4
2001,"2001-May",-9.9
2001,"2001-Jun",2.4
2001,"2001-Jul",-3.3
2001,"2001-Aug",-8.3
2001,"2001-Sep",1.7
2001,"2001-Oct",-3
2001,"2001-Nov",9
2001,"2001-Dec",-11.2
2002,"2002-Jan",2.5
2002,"2002-Feb",7.1
2002,"2002-Mar",-5.6
2002,"2002-Apr",-3.4
2002,"2002-May",-13.8
2002,"2002-Jun",-6.8
2002,"2002-Jul",-7.1
2002,"2002-Aug",-14.3
2002,"2002-Sep",-7.3
2002,"2002-Oct",-7.6
2002,"2002-Nov",-4.1
2002,"2002-Dec",-13.4
2003,"2003-Jan",-2
2003,"2003-Feb",-9.3
2003,"2003-Mar",-6.6
2003,"2003-Apr",-5.9
2003,"2003-May",-5
2003,"2003-Jun",-13.2
2003,"2003-Jul",3.2
2003,"2003-Aug",-1.2
2003,"2003-Sep",-1.6
2003,"2003-Oct",-2.9
2003,"2003-Nov",-2.4
2003,"2003-Dec",9
2004,"2004-Jan",-12.8
2004,"2004-Feb",9
2004,"2004-Mar",0.9
2004,"2004-Apr",-16.2
2004,"2004-May",13
2004,"2004-Jun",-13.9
2004,"2004-Jul",-6.4
2004,"2004-Aug",-6.7
2004,"2004-Sep",-3.2
2004,"2004-Oct",-3
2004,"2004-Nov",-7.7
2004,"2004-Dec",-10.1
2005,"2005-Jan",1.2
2005,"2005-Feb",-29.5
2005,"2005-Mar",-1.3
2005,"2005-Apr",-10.8
2005,"2005-May",-11.7
2005,"2005-Jun",0.5
2005,"2005-Jul",1.6
2005,"2005-Aug",-6.5
2005,"2005-Sep",3.4
2005,"2005-Oct",11.5
2005,"2005-Nov",-2.2
2005,"2005-Dec",-1.4
2006,"2006-Jan",11.8
2006,"2006-Feb",-0.6
2006,"2006-Mar",11.4
2006,"2006-Apr",13
2006,"2006-May",-7.7
2006,"2006-Jun",-6.7
2006,"2006-Jul",-8.6
2006,"2006-Aug",-14.1
2006,"2006-Sep",-4.6
2006,"2006-Oct",-16.4
2006,"2006-Nov",-0.7
2006,"2006-Dec",-5.3
2007,"2007-Jan",-8.9
2007,"2007-Feb",-2.8
2007,"2007-Mar",-1.2
2007,"2007-Apr",-4.2
2007,"2007-May",-2.5
2007,"2007-Jun",5.4
2007,"2007-Jul",-4.8
2007,"2007-Aug",1.8
2007,"2007-Sep",2.2
2007,"2007-Oct",6.1
2007,"2007-Nov",9.9
2007,"2007-Dec",13.3
2008,"2008-Jan",12.7
2008,"2008-Feb",21
2008,"2008-Mar",10.2
2008,"2008-Apr",4.4
2008,"2008-May",-3.5
2008,"2008-Jun",2.9
2008,"2008-Jul",2.3
2008,"2008-Aug",8
2008,"2008-Sep",13.7
2008,"2008-Oct",14.2
2008,"2008-Nov",17.5
2008,"2008-Dec",11.6
2009,"2009-Jan",8.2
2009,"2009-Feb",15.2
2009,"2009-Mar",-1.3
2009,"2009-Apr",8
2009,"2009-May",-5
2009,"2009-Jun",-2.8
2009,"2009-Jul",2.1
2009,"2009-Aug",-3.9
2009,"2009-Sep",3.6
2009,"2009-Oct",-14.9
2009,"2009-Nov",-6.4
2009,"2009-Dec",-9
2010,"2010-Jan",-8.3
2010,"2010-Feb",-18.2
2010,"2010-Mar",-10.8
2010,"2010-Apr",12.1
2010,"2010-May",10.5
2010,"2010-Jun",1.3
2010,"2010-Jul",18.7
2010,"2010-Aug",17
2010,"2010-Sep",25.8
2010,"2010-Oct",19.7
2010,"2010-Nov",16.3
2010,"2010-Dec",26.4
2011,"2011-Jan",18.1
2011,"2011-Feb",22.6
2011,"2011-Mar",17.4
2011,"2011-Apr",23.9
2011,"2011-May",2.1
2011,"2011-Jun",0.9
2011,"2011-Jul",9.1
2011,"2011-Aug",2.6
2011,"2011-Sep",11.1
2011,"2011-Oct",9.7
2011,"2011-Nov",12.4
2011,"2011-Dec",22.2
2012,"2012-Jan",9.6
2012,"2012-Feb",0.8
2012,"2012-Mar",2.4
2012,"2012-Apr",-6.2
2012,"2012-May",-2.4
2012,"2012-Jun",-10.2
2012,"2012-Jul",0.1
2012,"2012-Aug",-6.2
2012,"2012-Sep",3.2
2012,"2012-Oct",2.3
2012,"2012-Nov",3.8
2012,"2012-Dec",-7.4
2013,"2013-Jan",-0.3
2013,"2013-Feb",-5.6
2013,"2013-Mar",8.7
2013,"2013-Apr",1.3
2013,"2013-May",8
2013,"2013-Jun",10.5
2013,"2013-Jul",7.4
2013,"2013-Aug",-0.2
2013,"2013-Sep",4.4
2013,"2013-Oct",-2.1
2013,"2013-Nov",10.1
2013,"2013-Dec",-0.7
2014,"2014-Jan",11.2
2014,"2014-Feb",-1.7
2014,"2014-Mar",-12
2014,"2014-Apr",6.4
2014,"2014-May",4.3
2014,"2014-Jun",-0.8
2014,"2014-Jul",-4
2014,"2014-Aug",-10.3
2014,"2014-Sep",-6.6
2014,"2014-Oct",-8.2
2014,"2014-Nov",-8
2014,"2014-Dec",-7.6
2015,"2015-Jan",-8.7
2015,"2015-Feb",-0.5
2015,"2015-Mar",-10.7
2015,"2015-Apr",-3.1
2015,"2015-May",-13.1
2015,"2015-Jun",-10.3
2015,"2015-Jul",-13.83
2015,"2015-Aug",-19.02
2015,"2015-Sep",-16.66
2015,"2015-Oct",-21.3
2015,"2015-Nov",-3.23
2015,"2015-Dec",-10.08
2016,"2016-Jan",-21.75
2016,"2016-Feb",-19.06
2016,"2016-Mar",-6.34
2016,"2016-Apr",-19.07
2016,"2016-May",2.83
2016,"2016-Jun",3.72
2016,"2016-Jul",3.7
2016,"2016-Aug",4.67
2016,"2016-Sep",13.82
2016,"2016-Oct",-4.51
2016,"2016-Nov",0.68
2016,"2016-Dec",0.43
2017,"2017-Jan",0.5
2017,"2017-Feb",-2.24
2017,"2017-Mar",3.8
2017,"2017-Apr",-6.31
2017,"2017-May",0.68
2017,"2017-Jun",-9.45
2017,"2017-Jul",6.51
2017,"2017-Aug",3.5
2017,"2017-Sep",6.16
2017,"2017-Oct",10.64
2017,"2017-Nov",10.4
2017,"2017-Dec",-2.61
2018,"2018-Jan",8.93
2018,"2018-Feb",-7.74
2018,"2018-Mar",8.42
2018,"2018-Apr",4.02
2018,"2018-May",2.69
2018,"2018-Jun",-6.27
2018,"2018-Jul",1.79
2018,"2018-Aug",-6.7
2018,"2018-Sep",-8.49
2018,"2018-Oct",2.61
2018,"2018-Nov",0.56
2018,"2018-Dec",9.14
2019,"2019-Jan",-2.24
2019,"2019-Feb",-14.62
2019,"2019-Mar",-6.48
2019,"2019-Apr",-2.43
2019,"2019-May",-7.41
2019,"2019-Jun",-9.99
2019,"2019-Jul",-5.86
2019,"2019-Aug",-3.14
2019,"2019-Sep",-12.72
2019,"2019-Oct",-5.19
2019,"2019-Nov",-9.45
2019,"2019-Dec",-6.72
2020,"2020-Jan",0.65
2020,"2020-Feb",-2.6
